268.4748,-34.8167,3.3
277.8498,-32.35,7.7
280.7998,-32.3,8.1
265.0248,-32.2167,4.2
294.9998,-30.9667,7.0
283.7748,-30.4833,7.7
255.2998,-30.1166,6.6
204.2498,-29.8666,7.6
189.8748,-26.7499,8.2
245.8998,-26.5333,5.9
255.6498,-26.2667,7.2
276.1248,-24.8667,6.9
81.1249,-24.55,8.0
270.9498,-24.3833,5.8
279.0998,-23.9,5.1
116.1499,-23.8666,6.2
325.0998,-23.1834,7.5
270.6498,-23.0333,8.5
244.2498,-22.9833,7.2
271.1498,-22.5,5.9
301.5248,-21.9167,8.6
101.7499,-20.7333,4.5
277.8998,-19.25,4.6
269.1998,-19.0167,5.5
259.7998,-18.5167,7.9
274.2248,-18.4833,4.5
274.9748,-17.1333,6.9
275.1998,-16.1833,7.0
115.4499,-14.8166,6.1
114.1499,-14.5,4.4
274.6998,-13.7833,6.0
248.1248,-13.05,8.1
314.7248,-12.6334,10
313.3748,-12.5334,9.4
189.9998,-11.6166,8.3
281.2998,-9.4,8.0
105.7999,-8.3333,5.9
282.7748,-6.2667,5.8
123.4498,-5.8,5.8
83.8498,-5.45,4.0
83.8998,-5.2667,9.0
254.2748,-4.1,6.6
264.3998,-3.25,7.6
251.7998,-1.95,6.6
323.3748,-0.8167,6.5
40.6748,-0.0167,8.8
86.6748,0.05,8.0
229.6498,2.0834,5.8
185.4748,4.4667,9.7
187.4498,8.0001,8.4
190.9248,11.5501,8.8
190.4998,11.6501,9.8
160.9998,11.7001,9.7
132.5998,11.8167,6.9
161.6998,11.8167,9.2
189.4248,11.8167,9.8
322.4999,12.1666,6.4
187.6998,12.4001,8.6
188.9248,12.5501,9.8
161.9498,12.5834,9.3
186.2748,12.8834,9.3
186.5498,12.9501,9.2
170.0498,12.9834,9.0
169.7248,13.0834,9.3
189.1998,13.1667,9.5
187.9998,14.4167,9.5
184.6998,14.4167,9.8
188.8498,14.5001,10.2
183.4498,14.9001,10.1
24.1748,15.7833,9.2
185.7248,15.8167,9.4
198.2248,18.1667,7.7
186.3498,18.1834,9.2
298.4499,18.7833,8.3
130.0248,19.9834,3.1
194.1748,21.6834,8.5
83.6248,22.0167,8.4
299.8999,22.7166,8.1
56.7498,24.1166,1.2
92.2248,24.3333,5.1
205.5499,28.3834,6.4
289.1499,30.1833,8.2
23.4748,30.6499,5.7
88.0998,32.55,5.6
283.3999,33.0333,9.0
84.0248,34.1333,6.0
82.1748,35.8333,6.4
250.4249,36.4667,5.9
305.9749,38.5333,6.6
10.6748,40.8666,8.2
192.7249,41.1167,8.1
10.6748,41.2666,3.4
10.0998,41.6833,8.0
198.9499,42.0334,8.6
40.4998,42.7833,5.2
259.2749,43.1333,6.5
202.4749,47.2001,8.1
184.7498,47.3001,8.3
323.0499,48.4333,4.6
25.5998,51.5666,11.5
