50,M 49,NGC 4472,1.874498000000E+02,8.000100000000E+00,VIR,9X7,8.400000000000E+00,NULL,6300
51,M 60,NGC 4649,1.909248000000E+02,1.155010000000E+01,VIR,7X6,8.800000000000E+00,NULL,6300
52,M 59,NGC 4621,1.904998000000E+02,1.165010000000E+01,VIR,5X3,9.800000000000E+00,NULL,6300
53,M 95,NGC 3351,1.609998000000E+02,1.170010000000E+01,LEO,7X5,9.700000000000E+00,NULL,6200
54,M 67,NGC 2682,1.325998000000E+02,1.181670000000E+01,CNC,30,6.900000000000E+00,NULL,3600
55,M 96,NGC 3368,1.616998000000E+02,1.181670000000E+01,LEO,7X5,9.200000000000E+00,NULL,6200
56,M 58,NGC 4579,1.894248000000E+02,1.181670000000E+01,VIR,5X4,9.800000000000E+00,NULL,6200
57,M 15,NGC 7078,3.224999000000E+02,1.216660000000E+01,PEG,12,6.400000000000E+00,NULL,3080
58,M 87,NGC 4486,1.876998000000E+02,1.240010000000E+01,VIR,7,8.600000000000E+00,NULL,6300
59,M 89,NGC 4552,1.889248000000E+02,1.255010000000E+01,VIR,4,9.800000000000E+00,NULL,6300
60,M 105,NGC 3379,1.619498000000E+02,1.258340000000E+01,LEO,4X4,9.300000000000E+00,NULL,6300
61,M 84,NGC 4374,1.862748000000E+02,1.288340000000E+01,VIR,5X4,9.300000000000E+00,NULL,6300
62,M 86,NGC 4406,1.865498000000E+02,1.295010000000E+01,VIR,7X6,9.200000000000E+00,NULL,6300
63,M 66,NGC 3627,1.700498000000E+02,1.298340000000E+01,LEO,9X4,9.000000000000E+00,NULL,6200
64,M 65,NGC 3623,1.697248000000E+02,1.308340000000E+01,LEO,10X3,9.300000000000E+00,NULL,6200
65,M 90,NGC 4569,1.891998000000E+02,1.316670000000E+01,VIR,10X5,9.500000000000E+00,NULL,6200
66,M 88,NGC 4501,1.879998000000E+02,1.441670000000E+01,COM,7X4,9.500000000000E+00,NULL,6200
67,M 99,NGC 4254,1.846998000000E+02,1.441670000000E+01,COM,5,9.800000000000E+00,NULL,6200
68,M 91,NGC 4548,1.888498000000E+02,1.450010000000E+01,COM,5X4,1.020000000000E+01,NULL,6200
69,M 98,NGC 4192,1.834498000000E+02,1.490010000000E+01,COM,10X3,1.010000000000E+01,NULL,6200
70,M 74,NGC 628,2.417480000000E+01,1.578330000000E+01,PSC,10X9,9.200000000000E+00,NULL,6200
71,M 100,NGC 4321,1.857248000000E+02,1.581670000000E+01,COM,7X6,9.400000000000E+00,NULL,6200
72,M 53,NGC 5024,1.982248000000E+02,1.816670000000E+01,COM,13,7.700000000000E+00,NULL,3080
73,M 85,NGC 4382,1.863498000000E+02,1.818340000000E+01,COM,7X5,9.200000000000E+00,NULL,6300
74,M 71,NGC 6838,2.984499000000E+02,1.878330000000E+01,SGE,7,8.300000000000E+00,NULL,3080
75,M 44,NGC 2632,1.300248000000E+02,1.998340000000E+01,CNC,95,3.100000000000E+00,NULL,3600
76,M 64,NGC 4826,1.941748000000E+02,2.168340000000E+01,COM,9X5,8.500000000000E+00,NULL,6200
77,M 1,NGC 1952,8.362480000000E+01,2.201670000000E+01,TAU,6X4,8.400000000000E+00,:,3500
78,M 27,NGC 6853,2.998999000000E+02,2.271660000000E+01,VUL,8X4,8.100000000000E+00,:,3560
79,M 45,NULL,5.674980000000E+01,2.411660000000E+01,TAU,110,1.200000000000E+00,NULL,3600
80,M 35,NGC 2168,9.222480000000E+01,2.433330000000E+01,GEM,28,5.100000000000E+00,NULL,3600
81,M 3,NGC 5272,2.055499000000E+02,2.838340000000E+01,CVN,16,6.400000000000E+00,NULL,3080
82,M 56,NGC 6779,2.891499000000E+02,3.018330000000E+01,LYR,7,8.200000000000E+00,NULL,3080
83,M 33,NGC 598,2.347480000000E+01,3.064990000000E+01,TRI,62X39,5.700000000000E+00,NULL,6200
84,M 37,NGC 2099,8.809980000000E+01,3.255000000000E+01,AUR,24,5.600000000000E+00,NULL,3600
85,M 57,NGC 6720,2.833999000000E+02,3.303330000000E+01,LYR,1,9.000000000000E+00,:,3560
86,M 36,NGC 1960,8.402480000000E+01,3.413330000000E+01,AUR,12,6.000000000000E+00,NULL,3600
87,M 38,NGC 1912,8.217480000000E+01,3.583330000000E+01,AUR,21,6.400000000000E+00,NULL,3600
88,M 13,NGC 6205,2.504249000000E+02,3.646670000000E+01,HER,17,5.900000000000E+00,NULL,3080
89,M 29,NGC 6913,3.059749000000E+02,3.853330000000E+01,CYG,7,6.600000000000E+00,NULL,3600
90,M 32,NGC 221,1.067480000000E+01,4.086660000000E+01,AND,8X6,8.200000000000E+00,NULL,6300
91,M 94,NGC 4736,1.927249000000E+02,4.111670000000E+01,CVN,11X9,8.100000000000E+00,NULL,6200
92,M 31,NGC 224,1.067480000000E+01,4.126660000000E+01,AND,178X63,3.400000000000E+00,NULL,6200
93,M 110,NGC 205,1.009980000000E+01,4.168330000000E+01,AND,17X10,8.000000000000E+00,NULL,6300
94,M 63,NGC 5055,1.989499000000E+02,4.203340000000E+01,CVN,12X8,8.600000000000E+00,NULL,6200
95,M 34,NGC 1039,4.049980000000E+01,4.278330000000E+01,PER,35,5.200000000000E+00,NULL,3600
96,M 92,NGC 6341,2.592749000000E+02,4.313330000000E+01,HER,11,6.500000000000E+00,NULL,3080
97,M 51,NGC 5194-5,2.024749000000E+02,4.720010000000E+01,CVN,11X8,8.100000000000E+00,NULL,6200
98,M 106,NGC 4258,1.847498000000E+02,4.730010000000E+01,CVN,18X8,8.300000000000E+00,NULL,6200
99,M 39,NGC 7092,3.230499000000E+02,4.843330000000E+01,CYG,32,4.600000000000E+00,NULL,3600
100,M 76,NGC 650-1,2.559980000000E+01,5.156660000000E+01,PER,2X1,1.150000000000E+01,:,3560
