#Row,name,alt_name,ra,dec,constell,dimension,vmag,vmag_uncert,class
82,M 56,NGC 6779,289.1499,30.1833,LYR,7,8.2,null,3080
83,M 33,NGC 598,23.4748,30.6499,TRI,62X39,5.7,null,6200
84,M 37,NGC 2099,88.0998,32.55,AUR,24,5.6,null,3600
85,M 57,NGC 6720,283.3999,33.0333,LYR,1,9.0,:,3560
86,M 36,NGC 1960,84.0248,34.1333,AUR,12,6.0,null,3600
87,M 38,NGC 1912,82.1748,35.8333,AUR,21,6.4,null,3600
88,M 13,NGC 6205,250.4249,36.4667,HER,17,5.9,null,3080
89,M 29,NGC 6913,305.9749,38.5333,CYG,7,6.6,null,3600
90,M 32,NGC 221,10.6748,40.8666,AND,8X6,8.2,null,6300
91,M 94,NGC 4736,192.7249,41.1167,CVN,11X9,8.1,null,6200
92,M 31,NGC 224,10.6748,41.2666,AND,178X63,3.4,null,6200
93,M 110,NGC 205,10.0998,41.6833,AND,17X10,8.0,null,6300
94,M 63,NGC 5055,198.9499,42.0334,CVN,12X8,8.6,null,6200
95,M 34,NGC 1039,40.4998,42.7833,PER,35,5.2,null,3600
96,M 92,NGC 6341,259.2749,43.1333,HER,11,6.5,null,3080
97,M 51,NGC 5194-5,202.4749,47.2001,CVN,11X8,8.1,null,6200
98,M 106,NGC 4258,184.7498,47.3001,CVN,18X8,8.3,null,6200
99,M 39,NGC 7092,323.0499,48.4333,CYG,32,4.6,null,3600
100,M 76,NGC 650-1,25.5998,51.5666,PER,2X1,11.5,:,3560
